epoch,stage,clean_weight,noisy_weight,clean_prob,noisy_prob
1,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
2,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
3,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
4,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
5,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
6,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
7,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
8,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
9,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
10,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
11,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
12,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
13,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
14,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
15,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
16,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
17,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
18,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
19,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
20,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
21,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
22,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
23,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
24,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
25,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
26,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
27,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
28,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
29,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
30,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
31,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
32,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
33,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
34,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
35,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
36,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
37,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
38,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
39,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
40,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
41,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
42,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
43,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
44,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
45,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
46,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
47,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
48,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
49,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
50,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
51,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
52,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
53,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
54,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
55,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
56,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
57,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
58,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
59,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
60,C3_broad_1to1,1.000000,1.000000,0.500000,0.500000
61,C3_anneal,1.000000,1.000000,0.500000,0.500000
62,C3_anneal,1.000000,1.000000,0.500000,0.500000
63,C3_anneal,1.000000,1.000000,0.500000,0.500000
64,C3_anneal,1.000000,1.000000,0.500000,0.500000
65,C3_anneal,1.000000,1.000000,0.500000,0.500000
66,C3_anneal,1.000000,1.000000,0.500000,0.500000
67,C3_anneal,1.000000,1.000000,0.500000,0.500000
68,C3_anneal,1.000000,1.000000,0.500000,0.500000
69,C3_anneal,1.000000,1.000000,0.500000,0.500000
70,C3_anneal,1.000000,1.000000,0.500000,0.500000
71,C3_anneal,1.000000,1.000000,0.500000,0.500000
72,C3_anneal,1.000000,1.000000,0.500000,0.500000
73,C3_anneal,1.000000,1.000000,0.500000,0.500000
74,C3_anneal,1.000000,1.000000,0.500000,0.500000
75,C3_anneal,1.000000,1.000000,0.500000,0.500000
76,C3_anneal,1.000000,1.000000,0.500000,0.500000
77,C3_anneal,1.000000,1.000000,0.500000,0.500000
